2025-09-02 23:50:59,371 [INFO] Compiling ASN.1 schema: description.asn
2025-09-02 23:51:00,303 [WARNING] Decoding failed at offset 1106: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '35'. (At offset: 2)
2025-09-02 23:51:00,303 [WARNING] Decoding failed at offset 1131: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '34'. (At offset: 2)
2025-09-02 23:51:00,303 [WARNING] Decoding failed at offset 1136: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '35'. (At offset: 2)
2025-09-02 23:51:00,303 [WARNING] Decoding failed at offset 1154: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '61'. (At offset: 2)
2025-09-02 23:51:00,303 [WARNING] Decoding failed at offset 1163: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '6f'. (At offset: 2)
2025-09-02 23:51:00,303 [WARNING] Decoding failed at offset 1229: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '0a'. (At offset: 2)
2025-09-02 23:51:00,303 [WARNING] Decoding failed at offset 1247: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '0a'. (At offset: 2)
2025-09-02 23:51:00,312 [WARNING] Decoding failed at offset 1267: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '31'. (At offset: 2)
2025-09-02 23:51:00,313 [WARNING] Decoding failed at offset 1269: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '30'. (At offset: 2)
2025-09-02 23:51:00,314 [WARNING] Decoding failed at offset 1391: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '0a'. (At offset: 2)
2025-09-02 23:51:00,314 [WARNING] Decoding failed at offset 1482: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '2e'. (At offset: 2)
2025-09-02 23:51:00,324 [WARNING] Decoding failed at offset 1678: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '0a'. (At offset: 2)
2025-09-02 23:51:00,324 [WARNING] Decoding failed at offset 1699: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '35'. (At offset: 2)
2025-09-02 23:51:00,331 [WARNING] Decoding failed at offset 1703: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '0a'. (At offset: 2)
2025-09-02 23:51:00,331 [WARNING] Decoding failed at offset 1724: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '2f'. (At offset: 2)
2025-09-02 23:51:00,335 [WARNING] Decoding failed at offset 1735: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '3a'. (At offset: 2)
2025-09-02 23:51:00,336 [WARNING] Decoding failed at offset 1767: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '0a'. (At offset: 2)
2025-09-02 23:51:00,337 [WARNING] Decoding failed at offset 1790: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '2f'. (At offset: 2)
2025-09-02 23:51:00,337 [WARNING] Decoding failed at offset 1801: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '3a'. (At offset: 2)
2025-09-02 23:51:00,337 [WARNING] Decoding failed at offset 1808: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '30'. (At offset: 2)
2025-09-02 23:51:00,337 [WARNING] Decoding failed at offset 1837: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '2f'. (At offset: 2)
2025-09-02 23:51:00,337 [WARNING] Decoding failed at offset 1848: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '3a'. (At offset: 2)
2025-09-02 23:51:00,337 [WARNING] Decoding failed at offset 1875: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '38'. (At offset: 2)
2025-09-02 23:51:00,343 [WARNING] Decoding failed at offset 1925: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '69'. (At offset: 2)
2025-09-02 23:51:00,343 [WARNING] Decoding failed at offset 1980: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '0a'. (At offset: 2)
2025-09-02 23:51:00,346 [WARNING] Decoding failed at offset 2001: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '2f'. (At offset: 2)
2025-09-02 23:51:00,348 [WARNING] Decoding failed at offset 2012: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '3a'. (At offset: 2)
2025-09-02 23:51:00,348 [WARNING] Decoding failed at offset 2149: SPSRecord.genericRecord.recordType: Expected UTF8String(recordType) with tag '80', but got '31'. (At offset: 2)
